year,transect,site_code,plot,SDD,species,peak,duration,max
2013,Reflection Lakes,RL1_13,RL1,179,ERPE,216.014399587751,-0.0263372595333715,3.20791085146663
2013,Reflection Lakes,RL1_13,RL1,179,LIGR,228.177999137536,-0.0123962300286695,1.98675717685904
2013,Reflection Lakes,RL1_13,RL1,179,LUAR,209.814515043266,-1.75452712433177,135.626422310903
2013,Reflection Lakes,RL2_13,RL2,182,CAPA,222.894964971146,-0.00293112647196083,1.50314257996644
2013,Reflection Lakes,RL2_13,RL2,182,LUAR,216.188233927466,-0.0187037815141409,2.16024581732511
2013,Reflection Lakes,RL2_13,RL2,182,PEBR,212.848943852535,-0.0279277786488658,2.94250099019167
2013,Reflection Lakes,RL2_13,RL2,182,VASI,212.829182009151,-0.00846794727549698,2.83404728560989
2013,Reflection Lakes,RL3_13,RL3,180,ERPE,233.869113541823,-0.00332766761785317,-0.413675390275502
2013,Reflection Lakes,RL3_13,RL3,180,LIGR,218.565901984893,-0.00831184718651905,0.556832162705857
2013,Reflection Lakes,RL3_13,RL3,180,LUAR,208.998386808974,-0.0690963455165162,4.65150742579875
2013,Reflection Lakes,RL3_13,RL3,180,POBI,216.16189095453,-0.0189599412781129,3.26718148054075
2013,Reflection Lakes,RL3_13,RL3,180,VASI,209.07530445224,-0.022444634741318,2.85276615164676
2013,Reflection Lakes,RL4_13,RL4,191,CAPA,221.05186382873,-0.00569331038591784,1.72310617018308
2013,Reflection Lakes,RL4_13,RL4,191,ERMO,198.632045135034,-0.00708573315865881,-0.0724921924494548
2013,Reflection Lakes,RL4_13,RL4,191,LIGR,229.536879660609,-0.0289467089876994,2.02267671900334
2013,Reflection Lakes,RL4_13,RL4,191,PEBR,219.105601349286,-0.0329218440474226,2.18296611474054
2013,Reflection Lakes,RL4_13,RL4,191,POBI,228.356612335813,-0.012550304803901,3.07901877467227
2013,Reflection Lakes,RL4_13,RL4,191,VASI,218.910121758733,-0.0161591055664893,-0.785722759792751
2013,Reflection Lakes,RL5_13,RL5,195,CAPA,242.504154008681,-0.00247286797085038,0.728150265059867
2013,Reflection Lakes,RL5_13,RL5,195,ERMO,204.236189091095,-2.36618743951569,92.714702222606
2013,Reflection Lakes,RL5_13,RL5,195,ERPE,232.741115152647,-0.0173546083242946,1.04737644978074
2013,Reflection Lakes,RL5_13,RL5,195,LUAR,227.02328002107,-0.0193673163051759,2.97463083372133
2013,Reflection Lakes,RL5_13,RL5,195,MIAL,219.913027234871,-0.0232386239925987,0.0805869913619636
2013,Reflection Lakes,RL5_13,RL5,195,POBI,233.922661673563,-0.0193609388423648,3.49084992128226
2013,Reflection Lakes,RL5_13,RL5,195,VASI,221.898873184427,-0.0210132522680891,4.85645337876129
2013,Reflection Lakes,RL6_13,RL6,200,ANOC,203.974801374918,-0.0127891998104666,1.15764150952735
2013,Reflection Lakes,RL6_13,RL6,200,CAPA,218.948962507908,-0.00986991485432384,-0.223093889065355
2013,Reflection Lakes,RL6_13,RL6,200,ERPE,237.217642840214,-0.00860869014624912,0.274992638419178
2013,Reflection Lakes,RL6_13,RL6,200,LIGR,234.825258684647,-0.0172344478654103,1.98824663538852
2013,Reflection Lakes,RL6_13,RL6,200,LUAR,230.096526893112,-0.0212655251029659,4.0234182510886
2013,Reflection Lakes,RL6_13,RL6,200,MIAL,220.443545890053,-0.410127452255419,1.24829694387727
2013,Reflection Lakes,RL6_13,RL6,200,PEBR,221.334445515269,-0.0224020329273404,0.787520266184372
2013,Reflection Lakes,RL6_13,RL6,200,POBI,237.147929300275,-0.0111571328236273,2.94058021905282
2013,Reflection Lakes,RL6_13,RL6,200,VASI,228.531753621389,-0.00961530273566619,1.83505824564528
2013,Reflection Lakes,RL7_13,RL7,197,ANOC,209.787221966524,-0.0345253979468194,2.32441432982261
2013,Reflection Lakes,RL7_13,RL7,197,CAPA,223.702323411129,-0.0148021295982489,3.71720713524955
2013,Reflection Lakes,RL7_13,RL7,197,ERPE,235.213624674287,-0.0205431446666742,2.55791161455384
2013,Reflection Lakes,RL7_13,RL7,197,LIGR,234.640596978184,-0.0148719133460709,0.553855942502588
2013,Reflection Lakes,RL7_13,RL7,197,LUAR,226.220475947719,-1.78959204293019,152.838441345653
2013,Reflection Lakes,RL7_13,RL7,197,MIAL,220.678303370611,-0.0996831026374134,0.437556115974578
2013,Reflection Lakes,RL7_13,RL7,197,POBI,234.410856019545,-0.0124554365654219,2.69941892497549
2013,Reflection Lakes,RL8_13,RL8,198,ANOC,212.429979575884,-0.0559538273101026,3.81092760905728
2013,Reflection Lakes,RL8_13,RL8,198,CAPA,230.621679732271,-0.019013563278927,4.79252332296745
2013,Reflection Lakes,RL8_13,RL8,198,ERPE,237.328452058573,-0.0513286676682536,8.34022841879399
2013,Reflection Lakes,RL8_13,RL8,198,LIGR,238.853782312492,-0.0139310260658047,1.68218225897672
2013,Reflection Lakes,RL8_13,RL8,198,LUAR,233.60722301444,-0.0278225596138968,3.75078319153097
2013,Reflection Lakes,RL8_13,RL8,198,MIAL,226.016915508993,-0.088672389141713,0.811535235619432
2013,Reflection Lakes,RL8_13,RL8,198,POBI,236.673004433213,-0.039620240687545,8.47118697315178
2013,Reflection Lakes,RL8_13,RL8,198,VASI,236.110989482644,-0.0104768538254139,2.87595312613233
2013,Reflection Lakes,RL9_13,RL9,204,ANOC,205.817815807339,-0.0171341325275006,-0.0220347235748299
2013,Reflection Lakes,RL9_13,RL9,204,CAPA,226.865688574611,-0.0114255410850921,3.95673811566074
2013,Reflection Lakes,RL9_13,RL9,204,ERPE,241.659951453212,-0.00616458490442245,-0.0380460962248954
2013,Reflection Lakes,RL9_13,RL9,204,LUAR,222.576068758072,-0.113005912734902,10.0461821604573
2013,Reflection Lakes,RL9_13,RL9,204,MIAL,219.413275442789,-0.12503047045373,2.4976889663995
2014,Reflection Lakes,RL1_13,RL1,182,ERPE,215.23075023275,-0.0697139366677335,5.19548282865069
2014,Reflection Lakes,RL1_13,RL1,182,LUAR,211.060714021844,-0.020816562456628,1.67431140197827
2014,Reflection Lakes,RL2_13,RL2,185,CAPA,221.533485218539,-0.0157732008745294,2.53780017955725
2014,Reflection Lakes,RL2_13,RL2,185,LUAR,218.040814386181,-0.0562610471411857,2.94868122450503
2014,Reflection Lakes,RL2_13,RL2,185,PEBR,216.599522583111,-0.0147826319641735,1.10359237456
2014,Reflection Lakes,RL2_13,RL2,185,VASI,216.390338970273,-0.0171448374162256,3.26634881236384
2014,Reflection Lakes,RL3_13,RL3,183,LIGR,221.401137448062,-0.00489074137430969,-1.83663576550172
2014,Reflection Lakes,RL3_13,RL3,183,LUAR,214.431359961862,-0.00453997076043512,-0.525879943707073
2014,Reflection Lakes,RL3_13,RL3,183,POBI,217.064921506926,-0.0173266371510265,2.3977365533452
2014,Reflection Lakes,RL3_13,RL3,183,VASI,207.510478579157,-0.0347952842335073,5.75572394311988
2014,Reflection Lakes,RL4_14,RL4,199,ERPE,240.59893958558,-0.00955498715987502,0.371287314547595
2014,Reflection Lakes,RL4_14,RL4,199,LUAR,235.568136505119,-0.0207980573745614,4.25204832222083
2014,Reflection Lakes,RL4_14,RL4,199,PEBR,229.751877560184,-0.112246897707646,5.6877107486077
2014,Reflection Lakes,RL4_14,RL4,199,POBI,241.736730559193,-0.010241120849627,3.06738949115333
2014,Reflection Lakes,RL4_14,RL4,199,VASI,238.687879131219,-0.0394645721093248,13.8244062459026
2014,Reflection Lakes,RL5_13,RL5,197,ERMO,211.181807285587,-0.0134801582812343,0.048576356503475
2014,Reflection Lakes,RL5_13,RL5,197,ERPE,236.978477233845,-0.0547800889892833,13.2467546028128
2014,Reflection Lakes,RL5_13,RL5,197,LUAR,235.758662670265,-0.0166804574334456,4.96820557511472
2014,Reflection Lakes,RL5_13,RL5,197,MIAL,223.278590774687,-0.0980171365138365,2.55464806118816
2014,Reflection Lakes,RL5_13,RL5,197,POBI,237.808561182678,-0.012553884266242,3.32338624416286
2014,Reflection Lakes,RL5_13,RL5,197,VASI,233.114787409634,-0.0109989549905289,4.43005244373253
2014,Reflection Lakes,RL6_13,RL6,200,ANOC,214.348093117883,-0.00531882609442849,-0.318500137240495
2014,Reflection Lakes,RL6_13,RL6,200,CAPA,227.999220323144,-0.00571448478502207,-0.0725349312117771
2014,Reflection Lakes,RL6_13,RL6,200,ERPE,237.623447265212,-0.0174804857833177,4.30207358027795
2014,Reflection Lakes,RL6_13,RL6,200,LIGR,237.307672304832,-0.0307148636057432,2.72252113855227
2014,Reflection Lakes,RL6_13,RL6,200,LUAR,234.925851655586,-0.0280140290163075,5.27694886169599
2014,Reflection Lakes,RL6_13,RL6,200,MIAL,218.945077221454,-0.759962857136624,2.04028019625511
2014,Reflection Lakes,RL6_13,RL6,200,PEBR,223.913569403638,-0.0132092630303987,0.740159583028166
2014,Reflection Lakes,RL6_13,RL6,200,POBI,238.297936688932,-0.0166479098956277,3.46689876798001
2014,Reflection Lakes,RL6_13,RL6,200,VASI,233.577326813634,-0.00599240517370361,-0.337300970067105
2014,Reflection Lakes,RL7_13,RL7,204,ANOC,212.837056942986,-0.0614048229531966,0.65536333817533
2014,Reflection Lakes,RL7_13,RL7,204,CAPA,246.76220818391,-0.00580654509668097,0.372646027412584
2014,Reflection Lakes,RL7_13,RL7,204,ERPE,234.315284227723,-0.02603180586195,3.05727004044105
2014,Reflection Lakes,RL7_13,RL7,204,LIGR,237.27012684946,-0.0140524004796884,-0.441016975645535
2014,Reflection Lakes,RL7_13,RL7,204,LUAR,229.518056817982,-0.0397165466064975,4.30876087116244
2014,Reflection Lakes,RL7_13,RL7,204,MIAL,222.156462526172,-0.0507794929538431,0.262770817765948
2014,Reflection Lakes,RL7_13,RL7,204,POBI,236.652116264141,-0.0129777213423156,2.55066371978037
2014,Reflection Lakes,RL8_13,RL8,201,ANOC,212.42828220022,-0.0403200937512884,1.6297436468638
2014,Reflection Lakes,RL8_13,RL8,201,CAPA,232.185333106352,-0.0114456386616721,4.09886877473714
2014,Reflection Lakes,RL8_13,RL8,201,ERPE,241.46189668367,-0.0080986709324791,2.6048596261476
2014,Reflection Lakes,RL8_13,RL8,201,LIGR,243.140529040501,-0.0103508496428155,1.9864334887054
2014,Reflection Lakes,RL8_13,RL8,201,LUAR,235.448683229987,-0.0235081473037845,4.09923568616062
2014,Reflection Lakes,RL8_13,RL8,201,MIAL,224.204431728041,-0.0329850617558108,0.878368185151737
2014,Reflection Lakes,RL8_13,RL8,201,POBI,240.573621362323,-0.0177885937156148,5.89310078366859
2014,Reflection Lakes,RL8_13,RL8,201,VASI,230.549197567634,-0.00618489723743853,-0.353948712516933
2014,Reflection Lakes,RL9_13,RL9,203,ANOC,212.521512943485,-1.24188429175939,52.1233873759897
2014,Reflection Lakes,RL9_13,RL9,203,CAPA,238.255734506814,-0.00295887611663231,2.13011827909333
2014,Reflection Lakes,RL9_13,RL9,203,ERPE,242.500988020309,-0.0123435121694637,2.27895388203871
2014,Reflection Lakes,RL9_13,RL9,203,LUAR,234.589854084976,-0.0423851266497944,9.02070343204917
2014,Reflection Lakes,RL9_13,RL9,203,MIAL,225.203707822797,-0.0312193125726088,-0.00971107002406894
2015,Glacier Basin,GB1_15,GB1,116,LICA,200.402352604144,-0.00405296003358397,-1.13552728955827
2015,Glacier Basin,GB1_15,GB1,116,MEPA,176.938146340131,-0.00925993553223548,4.56240419412127
2015,Glacier Basin,GB10_15,GB10,125,ARLA,184.84669241196,-0.0180144483854425,4.17083367898814
2015,Glacier Basin,GB10_15,GB10,125,ERGR,155.856479201006,-8.57118101608892,287.143642174266
2015,Glacier Basin,GB10_15,GB10,125,LUAR,179.897383703906,-0.0127987583425813,2.27185601081872
2015,Glacier Basin,GB10_15,GB10,125,PEBR,179.129712658732,-0.00867234101990574,0.712097123643659
2015,Glacier Basin,GB10_15,GB10,125,VASI,186.156266066455,-0.00808926824306257,0.553247727555536
2015,Glacier Basin,GB11_15,GB11,131,ASLE,205.853591170685,-0.00907435126880492,3.85679374140056
2015,Glacier Basin,GB11_15,GB11,131,LUAR,186.683799175837,-0.00178927577540572,0.0641215314909125
2015,Glacier Basin,GB11_15,GB11,131,VASI,167.182068614802,-0.0716802559916337,3.29524145211004
2015,Glacier Basin,GB12_15,GB12,144,CAMI,198.411947496057,-0.00572242352294521,0.880542208079938
2015,Glacier Basin,GB12_15,GB12,144,LUAR,181.440053034081,-0.00833447038618085,0.919133816770036
2015,Glacier Basin,GB12_15,GB12,144,POBI,190.790284193917,-0.0155398955986822,1.93930704596925
2015,Glacier Basin,GB12_15,GB12,144,VASI,183.218961972926,-0.0090753629652633,0.310884920656342
2015,Glacier Basin,GB13_15,GB13,123,ASLE,207.917723557763,-0.00562130453139483,3.21225374614202
2015,Glacier Basin,GB13_15,GB13,123,LUAR,180.572014658521,-0.0113469259897717,2.1301331841639
2015,Glacier Basin,GB13_15,GB13,123,PEBR,174.001103990528,-0.0307534886205857,2.76697074052485
2015,Glacier Basin,GB13_15,GB13,123,VASI,179.9998708945,-0.00725309271177318,3.71450399873328
2015,Glacier Basin,GB14_15,GB14,136,ASLE,199.80396157523,-0.00656066860351431,2.90753767770721
2015,Glacier Basin,GB14_15,GB14,136,CAMI,199.14503886585,-0.00991197617780508,5.46497868042837
2015,Glacier Basin,GB14_15,GB14,136,LUAR,175.536865399379,-3.95077479193028,677.657134850866
2015,Glacier Basin,GB14_15,GB14,136,MEPA,178.784148702638,-0.0127429166560755,2.61964034447005
2015,Glacier Basin,GB14_15,GB14,136,VASI,172.256102179543,-0.0280801643779592,5.34149975131759
2015,Glacier Basin,GB15_15,GB15,135,ASLE,178.313292219847,-0.00328106135972543,-0.101971997418545
2015,Glacier Basin,GB15_15,GB15,135,POBI,184.288747198161,-0.00810750974179669,-0.282985687889535
2015,Glacier Basin,GB15_15,GB15,135,VASI,179.355560940649,-0.0061195998602628,0.839940482004484
2015,Glacier Basin,GB2_15,GB2,104,CAMI,183.925153933308,-0.00236946824562978,2.03967605575524
2015,Glacier Basin,GB2_15,GB2,104,MEPA,147.955323266438,-0.00183565902618761,2.62371412585071
2015,Glacier Basin,GB3_15,GB3,105,LICA,187.897352589856,-0.0103248673227182,2.09767673629847
2015,Glacier Basin,GB3_15,GB3,105,MEPA,184.631568745231,-0.00427173096893433,4.75123624510215
2015,Glacier Basin,GB4_15,GB4,112,LUAR,177.093363895229,-0.00966923144071995,2.38942306397725
2015,Glacier Basin,GB4_15,GB4,112,VASI,168.923268169794,-0.0318035831558387,4.16706664139644
2015,Glacier Basin,GB5_15,GB5,116,ARLA,181.409223044788,-0.00586553374453529,2.76836478057673
2015,Glacier Basin,GB5_15,GB5,116,LICA,208.370193685536,-0.00475844720002511,0.706984980329509
2015,Glacier Basin,GB5_15,GB5,116,LUAR,176.93212465699,-0.00555068942899575,0.610016796225446
2015,Glacier Basin,GB6_15,GB6,115,LICA,196.31858778414,-0.0117249292490469,1.17154076155767
2015,Glacier Basin,GB6_15,GB6,115,LUAR,170.057071817663,-0.0122596231360205,2.81709160080382
2015,Glacier Basin,GB7_15,GB7,124,CAMI,188.803045980884,-0.0242785477835972,1.70699689086501
2015,Glacier Basin,GB7_15,GB7,124,LICA,218.931172772667,-0.00388472599689532,0.814487280630149
2015,Glacier Basin,GB8_15,GB8,134,ASLE,193.511514653585,-0.0128599863024179,2.54415987902809
2015,Glacier Basin,GB8_15,GB8,134,LUAR,182.147045809878,-0.0121937312007325,1.09270052447836
2015,Glacier Basin,GB8_15,GB8,134,VASI,175.044973208255,-0.0190428145258947,4.18608996579589
2015,Glacier Basin,GB9_15,GB9,142,ARLA,190.66855678733,-1.99550679568216,417.112923999727
2015,Glacier Basin,GB9_15,GB9,142,LUAR,187.797448493284,-0.0211097803430531,1.55120938390563
2015,Reflection Lakes,RL1_13,RL1,128,ERPE,172.751778552337,-0.0350497211508035,5.09296282493386
2015,Reflection Lakes,RL1_13,RL1,128,LUAR,168.413596285897,-0.98654940690674,73.4285461549549
2015,Reflection Lakes,RL2_13,RL2,140,CAPA,177.686883800644,-0.0311671822458601,3.19685582327859
2015,Reflection Lakes,RL2_13,RL2,140,LUAR,177.622179639373,-0.053656421086036,2.96056819116207
2015,Reflection Lakes,RL2_13,RL2,140,PEBR,180.327127137238,-0.0363153573092652,1.41388836248948
2015,Reflection Lakes,RL2_13,RL2,140,VASI,179.24246803531,-0.0150000571423795,-0.101111920760811
2015,Reflection Lakes,RL3_13,RL3,139,LUAR,175.323200021984,-0.0970642192738658,3.93488025301165
2015,Reflection Lakes,RL3_13,RL3,139,POBI,182.117070738661,-0.0324384763187731,0.368994319751314
2015,Reflection Lakes,RL3_13,RL3,139,VASI,174.210352198104,-0.033967039339959,3.52650541138993
2015,Reflection Lakes,RL4_14,RL4,144,LUAR,181.624829034979,-0.0329506426308508,2.86419571326858
2015,Reflection Lakes,RL4_14,RL4,144,PEBR,182.561652583518,-0.115620305377674,4.27059731074718
2015,Reflection Lakes,RL4_14,RL4,144,POBI,188.365904398726,-0.0589888820551186,8.31966256416384
2015,Reflection Lakes,RL4_14,RL4,144,VASI,184.181191537742,-0.0358040568608096,4.99552343408093
2015,Reflection Lakes,RL5_13,RL5,140,CAPA,198.042404246259,-0.135083366661232,0.431410012347831
2015,Reflection Lakes,RL5_13,RL5,140,ERMO,165.040468014544,-6.67836067522586,127.128971309676
2015,Reflection Lakes,RL5_13,RL5,140,ERPE,181.138904482334,-0.0322332653068499,2.30430526930006
2015,Reflection Lakes,RL5_13,RL5,140,LIGR,184.33329027389,-0.0228730648223592,0.864126068473731
2015,Reflection Lakes,RL5_13,RL5,140,LUAR,179.184151039255,-0.0188784411476252,4.02634408059514
2015,Reflection Lakes,RL5_13,RL5,140,MIAL,172.99168050519,-0.128932895786368,1.41574154452532
2015,Reflection Lakes,RL5_13,RL5,140,POBI,183.954007515724,-0.065609140562053,3.84762654793529
2015,Reflection Lakes,RL5_13,RL5,140,VASI,181.716758051406,-0.0350077133551227,3.35125993055092
2015,Reflection Lakes,RL6_13,RL6,150,ANOC,159.909019787123,-0.00685953926757352,0.792093783365592
2015,Reflection Lakes,RL6_13,RL6,150,CAPA,175.143186258419,-0.0122891363087296,-0.480189067865194
2015,Reflection Lakes,RL6_13,RL6,150,ERPE,188.237459300225,-1.69281973335338,129.979086534904
2015,Reflection Lakes,RL6_13,RL6,150,LIGR,194.887715542963,-0.0113776849034041,0.985298885826926
2015,Reflection Lakes,RL6_13,RL6,150,LUAR,187.075275929586,-0.0219499876611694,4.01645728181146
2015,Reflection Lakes,RL6_13,RL6,150,PEBR,182.18088767269,-0.076111669987986,0.633684857468676
2015,Reflection Lakes,RL6_13,RL6,150,POBI,190.181096741238,-0.0223711370687993,2.94319186999046
2015,Reflection Lakes,RL6_13,RL6,150,VASI,183.205608022463,-0.0151201732504233,-0.937182283807056
2015,Reflection Lakes,RL7_13,RL7,149,CAPA,176.913538334183,-0.0181503512875031,1.36648193177094
2015,Reflection Lakes,RL7_13,RL7,149,ERPE,186.394244070661,-0.0220159777453025,2.78190370995944
2015,Reflection Lakes,RL7_13,RL7,149,LIGR,192.914244193893,-0.0206469856435577,0.0302426736166408
2015,Reflection Lakes,RL7_13,RL7,149,LUAR,175.876428068147,-0.0419892515521328,3.32241425890883
2015,Reflection Lakes,RL7_13,RL7,149,POBI,183.366944713764,-0.0672174889402221,4.27723482683896
2015,Reflection Lakes,RL8_13,RL8,149,CAPA,178.777481856733,-0.0183468395571658,3.00095245793014
2015,Reflection Lakes,RL8_13,RL8,149,ERPE,186.076825745308,-0.0586077684333319,6.70333934612867
2015,Reflection Lakes,RL8_13,RL8,149,LIGR,187.673713686278,-0.0224099830180091,-0.875118889078599
2015,Reflection Lakes,RL8_13,RL8,149,LUAR,180.968396570265,-0.0966587677627319,3.08229600875076
2015,Reflection Lakes,RL8_13,RL8,149,POBI,186.749421221201,-0.041897621576167,5.28461011431328
2015,Reflection Lakes,RL9_13,RL9,159,ANOC,170.428628258411,-0.00459597482334087,-0.836244397286378
2015,Reflection Lakes,RL9_13,RL9,159,CAPA,189.345519664671,-0.00807013395580467,2.82109224980722
2015,Reflection Lakes,RL9_13,RL9,159,ERPE,190.186365034012,-0.0407049006492496,0.0411213688799059
2015,Reflection Lakes,RL9_13,RL9,159,LUAR,185.390843139369,-4.947357220237,245.001682636153
2016,Glacier Basin,GB1_15,GB1,133,MEPA,194.232534254717,-0.0169567222208286,4.5162798152503
2016,Glacier Basin,GB10_15,GB10,154,ARLA,225.45801375623,-0.00840302476902121,4.61302977142401
2016,Glacier Basin,GB10_15,GB10,154,LUAR,224.762051955399,-0.0122564743311376,2.88374084560714
2016,Glacier Basin,GB10_15,GB10,154,VASI,222.978493870547,-0.0056855331836766,-0.761766014943007
2016,Glacier Basin,GB11_15,GB11,154,ASLE,234.91206346163,-0.0150322760651276,4.17104256831288
2016,Glacier Basin,GB11_15,GB11,154,CAMI,220.868458277496,-0.00289336296258686,-0.15998286973106
2016,Glacier Basin,GB11_15,GB11,154,LUAR,214.986192841987,-0.0388651716404216,5.57720689140278
2016,Glacier Basin,GB11_15,GB11,154,MEPA,201.0704214016,-0.0297993990171755,7.36249133150644
